"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.302555470E-1,5.772068501E-1,-1.014636397E0,-1.119541645E0
7.327580880E-1,4.745457172E-1,-8.768880367E-1,-1.145898819E0
7.352607590E-1,3.759191036E-1,-7.998067141E-1,-1.188824654E0
7.377632990E-1,2.985320091E-1,-6.831651926E-1,-1.445158005E0
7.402657610E-1,3.154284954E-1,-6.399782896E-1,-8.818845749E-1
7.427685280E-1,5.292222500E-1,-3.818529844E-1,5.055332184E-1
7.452709770E-1,9.466116428E-1,2.629897594E-1,2.046797752E0
7.477736670E-1,7.117378712E-1,1.061154842E0,3.067170143E0
7.502761300E-1,-4.811501503E-2,1.257954240E0,2.271491051E0
7.527788980E-1,1.086425781E-1,1.106975675E0,1.007127762E0
7.552813420E-1,9.183073044E-1,9.229257703E-1,3.802919388E-1
7.577838810E-1,1.576242089E0,7.315627933E-1,5.304527283E-2
7.602865710E-1,1.726159334E0,4.112862349E-1,-4.753112793E-2
7.627891120E-1,1.533437014E0,1.070044041E-1,-3.226146698E-1
7.652915540E-1,1.344397664E0,-1.430859566E-1,-6.914081573E-1
7.677942440E-1,1.305915356E0,-3.897318840E-1,-6.074829102E-1
7.702967850E-1,1.480606914E0,-6.109398603E-1,-3.002033234E-1
7.727994750E-1,1.542646289E0,-8.126310110E-1,-6.996822357E-2
7.753019390E-1,1.495631933E0,-9.529914856E-1,1.776351929E-1
7.778044750E-1,1.443950415E0,-1.041530609E0,4.392852783E-1
7.803071670E-1,1.449524999E0,-1.105578661E0,6.836385727E-1
7.828097080E-1,1.502630949E0,-1.099782705E0,8.381557465E-1
7.853121550E-1,1.602301717E0,-1.123005033E0,9.192180634E-1
7.878148460E-1,1.667441726E0,-1.049272418E0,1.018022537E0
7.903173860E-1,1.750083566E0,-1.043355227E0,1.148457527E0
7.928200770E-1,1.794743776E0,-1.003500819E0,1.220378876E0
7.953225980E-1,1.858183503E0,-9.035383463E-1,1.313758850E0
7.978250600E-1,1.860081673E0,-8.644162416E-1,1.281549454E0
8.003277500E-1,1.839642644E0,-9.022952318E-1,1.076491356E0
8.028302900E-1,1.917607307E0,-8.981059790E-1,9.052829742E-1
8.053330330E-1,1.917835593E0,-9.346004725E-1,5.657672882E-1
8.078354960E-1,1.895652890E0,-9.468331337E-1,2.687387466E-1
8.103382630E-1,1.892483354E0,-9.741824865E-1,-1.766109467E-2
8.128407270E-1,1.933038712E0,-9.705908298E-1,-2.666511536E-1
