"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.502198870E-1,-1.231500053E1,-3.501000166E0,7.333050251E0
9.527223460E-1,-1.245105076E1,-3.451050282E0,7.218000412E0
9.552248030E-1,-1.264500046E1,-3.384000063E0,7.138950348E0
9.577274950E-1,-1.286805058E1,-3.267000198E0,7.074000359E0
9.602297230E-1,-1.304805088E1,-3.148950100E0,7.078950405E0
9.627324130E-1,-1.315995026E1,-3.151950121E0,7.150950432E0
9.652346460E-1,-1.311495018E1,-3.244950056E0,7.093050480E0
9.677373360E-1,-1.301400089E1,-3.355050087E0,6.870000362E0
9.702395690E-1,-1.286805058E1,-3.417000055E0,6.751050472E0
9.727420290E-1,-1.284705067E1,-3.322050095E0,6.933000565E0
9.752447210E-1,-1.284900093E1,-3.180000067E0,7.246950150E0
9.777469540E-1,-1.261695099E1,-3.067950249E0,7.630050182E0
9.802496440E-1,-1.245600033E1,-2.929050207E0,8.140049934E0
9.827518770E-1,-1.242300034E1,-2.749050140E0,8.170949936E0
9.852545330E-1,-1.232895088E1,-2.590950012E0,8.334000587E0
9.877567660E-1,-1.220505047E1,-2.515050173E0,8.611950874E0
9.902594560E-1,-1.214700031E1,-2.445000172E0,8.656949997E0
9.927616840E-1,-1.225305080E1,-2.380050182E0,8.403000832E0
9.952643740E-1,-1.231500053E1,-2.359050035E0,8.245050430E0
9.977668380E-1,-1.220205021E1,-2.385000229E0,8.299950600E0
1.000269036E0,-1.204200077E1,-2.461950064E0,8.446050644E0
1.002771495E0,-1.179300022E1,-2.562000036E0,8.347949982E0
1.005273962E0,-1.144095039E1,-2.653050184E0,8.200050354E0
1.007776423E0,-1.104795074E1,-2.638950109E0,8.080050468E0
1.010278885E0,-1.044900036E1,-2.557950020E0,8.022000313E0
1.012781346E0,-9.817050934E0,-2.521950006E0,7.942950249E0
1.015283808E0,-9.184950829E0,-2.482950211E0,7.699050426E0
1.017786269E0,-8.706000328E0,-2.392050028E0,7.402050495E0
1.020288731E0,-8.749050140E0,-2.371050119E0,6.862950325E0
1.022791193E0,-8.931000710E0,-2.488050222E0,6.111000061E0
1.025293655E0,-8.631000519E0,-2.590950012E0,5.674950123E0
1.027796117E0,-8.227050781E0,-2.697000027E0,5.292000294E0
1.030298564E0,-7.879050255E0,-2.886000156E0,4.818000317E0
1.032801026E0,-7.872000217E0,-3.013050079E0,4.248000145E0
