"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.952893661E0,3.037500143E0,1.738125038E1,-3.168750191E1
7.972894621E0,5.718750000E0,1.578750038E1,-3.136875153E1
7.992891167E0,6.768750191E0,1.471875095E1,-3.195000076E1
8.012894426E0,8.231250763E0,1.428750038E1,-3.253125000E1
8.032893957E0,6.862500191E0,1.396875095E1,-3.264375305E1
8.052889601E0,6.150000095E0,1.368750095E1,-3.172500038E1
8.072881762E0,6.243750095E0,1.312500095E1,-3.232500076E1
8.092883335E0,2.662500143E0,9.656250000E0,-2.876250076E1
8.112880694E0,2.625000000E0,8.287500381E0,-2.844375038E1
8.132886253E0,1.875000119E0,6.412500381E0,-2.810625076E1
8.152886086E0,2.662500143E0,3.112500191E0,-3.228750229E1
